Número,Nombre,URL
153,CEIP TESEJERAGUE MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptesejerague
154,Mediateca IES Arucas Domingo Rivero,https://www3.gobiernodecanarias.org/medusa/mediateca/iesarucasdomingorivero
155,CEIP TRAPICHE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeltrapiche
156,Servicio de Actividades Complementarias y Extraescolares,https://www3.gobiernodecanarias.org/medusa/mediateca/servicioactividadescomplementarias
157,Martín Miranda Radio,https://www3.gobiernodecanarias.org/medusa/mediateca/iesprofesormartinmiranda
158,IES Villa de Firgas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesvilladefirgas
159,MEDIATECA del CEIP DOCTOR GREGORIO CHIL,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipdoctorgregoriochilynaranjo
160,Mediateca La Rosa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplarosacaminoviejo
161,MEDIATECA EASD GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/easdgrancanaria
162,Mediateca del IES Santa María de Guía,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantamariadeguia
163,Radio Alpaca,https://www3.gobiernodecanarias.org/medusa/mediateca/iesvegadesanmateo
164,Mediateca IES Bañaderos,https://www3.gobiernodecanarias.org/medusa/mediateca/iesbanaderos
165,CEIP SAN JOSÉ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanjose
166,CEPA ARUCAS Y FIRGAS,https://www3.gobiernodecanarias.org/medusa/mediateca/cepaarucasyfirgasfernandomarreropulido
167,CEIP TÍNCER,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptincer
168,IES LUCAS MARTÍN ESPINO,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslucasmartinespino
169,MEDIATECA GARCIA ESCAMEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipgarciaescamez
170,CEOBYM MEDIATECA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceobethencourtymolina
171,Mediateca IES Los Naranjeros,https://www3.gobiernodecanarias.org/medusa/mediateca/ieslosnaranjeros
172,Ceip Santa Cruz de California,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantacruzdecalifornia
173,IES Casas Nuevas,https://www3.gobiernodecanarias.org/medusa/mediateca/iescasasnuevas
174,Rayca,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipramonycajal
175,CEIP TOMÁS DE IRIARTE,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptomasdeiriarte
176,IES ANA LUISA BENÍTEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/iesanaluisabenitez
177,Mediateca del Monzón,https://www3.gobiernodecanarias.org/medusa/mediateca/iesfranciscohernandezmonzon
178,CEIP MONTAÑA ROJA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmontanaroja
179,Colegio Pintor Manolo Millares,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippintormanolomillares
180,MediatecaJCR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuancruzruiz
181,CEIP Mª del Carmen Fernández Melián,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariadelcarmenfernandezmelian
182,Canal de Igualdad y Educación Afectivo Sexual,https://www3.gobiernodecanarias.org/medusa/mediateca/igualdad
183,CEIP ADOLFO TOPHAM,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipadolfotopham
184,IES CANDIDO MARANTE EXPÓSITO,https://www3.gobiernodecanarias.org/medusa/mediateca/iescandidomaranteexposito
185,Mediateca del IES Cairasco de Figueroa,https://www3.gobiernodecanarias.org/medusa/mediateca/iescairascodefigueroa
186,IES EUSEBIO BARRETO LORENZO,https://www3.gobiernodecanarias.org/medusa/mediateca/ieseusebiobarretolorenzo
187,CEIP BILINGÜE FERNANDO LEÓN Y CASTILLO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfernandoleonycastillo
188,CEIP IBERIA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipiberia
189,El Jable,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcostacalma
190,CEIP Manolo Ortega,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmanoloortega
191,MEDIATECA CEO MOGÁN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceomogan
192,IES GRAN TARAJAL,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgrantarajal
193,Ceip Cristóbal García Blairzy,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcristobalgarciablairzy
194,CEIP ALCALDE DIEGO TRUJILLO RODRÍGUEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalcaldediegotrujillorodriguez
195,CER Moya,https://www3.gobiernodecanarias.org/medusa/mediateca/cermoya
196,ceipleonycastillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipleonycastillo
197,CEIP VÍCTOR RODRÍGUEZ JIMÉNEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvictorrodriguezjimenez
198,Radio Educat-Higa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantateresadejesus
199,MEDIATECA C.PROFES.LAPALMA,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslapalma
200,IES SANTA LUCÍA,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantalucia
201,IES Puerto Cabras Rafael Báez,https://www3.gobiernodecanarias.org/medusa/mediateca/iesenpuertodelrosario
202,CEO Barlovento,https://www3.gobiernodecanarias.org/medusa/mediateca/ceobarlovento
203,Mediateca CEO La Pared,https://www3.gobiernodecanarias.org/medusa/mediateca/ceolapared
204,ceipmarpequeña,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmarpequena
205,CEIP Rafael Gaviño ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiprafaelgavinodelbosque
206,IES El Doctoral ,https://www3.gobiernodecanarias.org/medusa/mediateca/ieseldoctoral
207,Mediateca IES Jinámar,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjinamar
208,IES EL BATÁN,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselbatan
209,CEP La Gomera,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslagomera
210,CEIP La Lajita,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplalajita
211,CEIP TARAJALEJO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptarajalejo
212,MEDIATECA del CEPA Farola de Santa Cruz,https://www3.gobiernodecanarias.org/medusa/mediateca/cepafaroladesantacruz
213,CEIP LOPE DE GUERRA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplopedeguerra
214,Mediateca IES Doramas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesdoramas
215,CEIP Taibique,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptaibique
216,Canal CEIP Las Dunas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasdunas
