numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,post_date,error
62,CEIP JOSÉ PÉREZ Y PÉREZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjoseperezyperez,493,519,86,2025-06-26 09:20:27,
63,MediatecaMagallanes,https://www3.gobiernodecanarias.org/medusa/mediateca/iesmagallanes,171,265,86,2025-02-06 12:47:43,
64,CEIP PÉREZ ZAMORA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipperezzamora,71,71,86,2025-06-09 18:29:55,
65,CEIPVEINTEDEENERO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipveintedeenero,30,45,87,2025-06-25 15:53:33,
66,Amurga,https://www3.gobiernodecanarias.org/medusa/mediateca/iesamurga,0,0,86,,
67,CEPGCNOROESTE,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrancanarianoroeste,393,507,92,2025-05-12 09:55:02,
68,IES GRAN CANARIA,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgrancanaria,1,1,86,2023-02-20 11:55:34,
69,CEIP Fernando Guanarteme,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipfernandoguanarteme,93,128,86,2024-06-10 21:18:45,
70,IES El Sobradillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselsobradillo,60,95,86,2022-11-11 11:48:01,
71,IES Santiago Santana Díaz,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantiagosantanadiaz,56,64,86,2024-05-21 07:48:31,
72,canal del Barranco,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipbarrancodelastorres,52,68,86,2025-05-19 16:01:44,
73,Ceip Los Quintana ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplosquintana,166,166,86,2025-06-22 08:33:13,
74,CEIP PEPE MONAGAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippepemonagas,72,101,86,2021-01-04 21:45:47,
75,CEIP Príncipe Felipe,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipprincipefelipe,548,809,86,2025-07-01 08:04:28,
76,CEIP Orobal,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiporobal,1,1,0,2025-05-09 12:40:25,
77,CEIP ALISIOS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalisios,52,52,86,2025-06-23 08:37:39,
78,MEDIATECA CEIP EL CANARIO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipelcanario,524,618,86,2025-07-02 15:40:41,
79,CEIP MIRAFLOR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmiraflor,24,31,86,2023-05-17 09:12:02,
80,MEDIATECA_IESTEROR,https://www3.gobiernodecanarias.org/medusa/mediateca/iesteror,243,279,86,2025-06-24 10:23:48,
81,CeipPoetaTomásMoralesCarrizal,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippoetatomasmorales,201,218,87,2025-04-29 16:31:45,
82,CEAD S/C TENERIFE MERCEDES PINTO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceadsantacruzdetenerifemercedespinto,42,57,88,2025-06-29 21:18:07,
83,E-Mocán,https://www3.gobiernodecanarias.org/medusa/mediateca/iesarguineguin,60,60,86,2025-07-04 15:09:11,
84,MediatecaJoséMelián,https://www3.gobiernodecanarias.org/medusa/mediateca/eeijosemelianrodriguez,19,24,86,2024-11-11 16:10:32,
85,CEIP HUERTAS DEL PALMAR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiphuertasdelpalmar,86,96,86,2025-03-28 10:29:03,
86,CEIP AYATIMAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipayatimas,61,89,86,2025-06-08 09:49:05,
87,CEIP San Isidro,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsanisidro,40,40,86,2025-06-30 09:00:43,
88,CEPA La Guancha,https://www3.gobiernodecanarias.org/medusa/mediateca/cepalaguancha,8,17,86,2019-05-21 15:35:40,
89,MEDIATECA CEIP EL DRAGUILLO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipeldraguillo,203,263,86,2025-06-07 22:17:14,
90,Escuelas Oficiales de Idiomas de Canarias,https://www3.gobiernodecanarias.org/medusa/mediateca/aeoiadistanciadecanarias,0,0,86,,
91,Mediateca CEIP Aneja,https://www3.gobiernodecanarias.org/medusa/mediateca/ceippracticasaneja,233,274,86,2025-07-08 12:58:30,
92,Mediateca del CEIP en ARUCAS,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipenarucas,44,61,86,2024-11-10 18:30:45,
93,CEIP Camino de la Villa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcaminodelavilla,96,117,87,2025-05-02 08:29:08,
94,Canal de PROIDEAC,https://www3.gobiernodecanarias.org/medusa/mediateca/proideac,25,50,87,2021-09-23 13:02:21,
95,CEIP Luis Cortí,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipluiscorti,132,156,86,2025-06-12 10:35:41,
96,MediatecaJulianZafra,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjulianzaframoreno,356,386,86,2025-06-20 11:32:38,
97,MEDIATECA CEIP MARÍA MUÑOZ MAYOR,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmariamunozmayor,122,122,90,2025-06-30 10:58:07,
98,CEIP JUAN ARENCIBIA SOSA ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipjuanarencibiasosa,4208,4395,90,2025-06-20 09:32:42,
99,Mediateca CEO Tunte,https://www3.gobiernodecanarias.org/medusa/mediateca/ceotunte,212,274,87,2023-10-11 10:35:29,
100,IES_Tablero_I,https://www3.gobiernodecanarias.org/medusa/mediateca/iestableroiaguanac,97,106,86,2025-07-11 16:56:11,
101,MEDIATECA CEIP TAGOJA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptagoja,15,15,86,2025-06-19 13:18:23,
102,mediateca miranda,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmiranda,49,49,86,2024-07-02 11:19:03,
103,CEIP Las Retamas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasretamas,36,36,86,2025-05-04 10:47:58,
